N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
62,LG유플러스,"13,050",50,-0.38%,"5,000","56,978","436,611",37.56,"1,083,227",8.00,9.47,
63,맥쿼리인프라,"13,950",50,-0.36%,0,"56,476","404,846",14.79,"471,957",N/A,N/A,
64,현대제철,"39,450",750,-1.87%,"5,000","52,644","133,446",20.49,"444,853",3.60,8.54,
65,F&F,"136,000","6,000",-4.23%,100,"52,098","38,307",13.49,"180,175",14.95,N/A,
66,코웨이,"70,200","2,300",-3.17%,500,"51,807","73,800",61.28,"163,251",11.13,27.41,
67,에스디바이오센서,"47,750",250,-0.52%,500,"49,312","103,271",12.94,"191,986",4.40,72.47,
68,KODEX 200,"34,370",500,-1.43%,0,"48,359","140,700",2.53,"3,650,632",N/A,N/A,
69,미래에셋증권,"7,840",0,0.00%,"5,000","48,241","615,316",13.93,"1,181,969",5.38,11.66,
70,삼성엔지니어링,"24,550",800,-3.16%,"5,000","48,118","196,000",41.05,"1,499,624",12.92,20.67,
71,삼성중공업,"5,460",90,-1.62%,"1,000","48,048","880,000",14.47,"4,266,172",-2.66,-36.89,
72,HD현대,"60,400","1,000",-1.63%,"1,000","47,712","78,993",16.18,"263,082",-36.06,-1.99,
73,메리츠화재,"39,000",750,-1.89%,500,"47,044","120,625",11.90,"243,334",7.13,26.12,
74,한국항공우주,"46,650",650,-1.37%,"5,000","45,472","97,475",19.04,"557,540",71.11,5.19,
75,금호석유,"149,500","2,000",-1.32%,"5,000","45,292","30,296",19.82,"79,908",2.55,47.76,
76,현대건설,"40,200","1,400",-3.37%,"5,000","44,765","111,356",23.64,"578,767",11.01,5.89,
77,DB손해보험,"62,900",800,-1.26%,500,"44,533","70,800",43.67,"122,501",5.12,13.38,
78,한국타이어앤테크놀로지,"35,600",550,-1.52%,500,"44,100","123,875",37.64,"460,259",7.38,7.69,
79,일진머티리얼즈,"93,500","5,300",+6.01%,500,"43,114","46,111",11.40,"735,000",68.70,7.85,
80,유한양행,"58,200",400,-0.68%,"1,000","42,621","73,231",17.84,"161,387",42.20,5.45,
81,팬오션,"7,930",40,-0.50%,"1,000","42,391","534,570",15.12,"3,974,369",6.45,17.16,
82,GS,"45,450",550,-1.20%,"5,000","42,230","92,915",20.01,"312,207",2.97,15.55,
83,한국가스공사,"43,700",50,+0.11%,"5,000","40,341","92,313",10.54,"198,478",3.44,11.63,
84,메리츠금융지주,"30,600","1,100",-3.47%,500,"40,102","131,051",6.93,"293,016",5.20,22.33,
85,쌍용C&E,"7,870",110,+1.42%,100,"39,654","503,860",3.23,"667,811",21.33,11.12,
86,메리츠증권,"5,880",50,-0.84%,"1,000","38,796","659,791",12.33,"1,143,742",5.04,15.77,
87,삼성카드,"33,250",50,-0.15%,"5,000","38,523","115,859",7.33,"60,811",6.99,7.53,
88,오리온,"95,000",800,+0.85%,500,"37,559","39,536",35.34,"190,269",14.58,12.75,
89,한국금융지주,"67,400","1,800",-2.60%,"5,000","37,559","55,726",33.56,"193,779",2.35,27.12,
90,두산밥캣,"36,700",850,-2.26%,500,"36,791","100,249",24.57,"508,936",9.53,9.19,
91,한미약품,"294,500","5,000",-1.67%,"2,500","36,276","12,318",13.18,"19,639",54.13,8.75,
92,한진칼,"54,200","1,600",-2.87%,"2,500","36,185","66,761",14.67,"73,416",210.89,1.11,
93,현대오토에버,"130,000","2,000",+1.56%,500,"35,651","27,424",1.89,"81,305",48.11,7.26,
94,롯데지주,"33,500",700,-2.05%,200,"35,145","104,909",7.68,"119,227",11.50,4.61,
95,아모레G,"42,200","1,500",-3.43%,500,"34,797","82,458",15.14,"158,428",22.51,5.49,
96,TIGER 차이나전기차SOLACTIVE,"13,550",115,+0.86%,0,"34,298","253,120",0.64,"5,821,661",N/A,N/A,
97,NH투자증권,"10,050",100,-0.99%,"5,000","33,332","331,666",14.66,"693,890",3.28,14.77,
98,현대차2우B,"91,100",800,-0.87%,"5,000","33,238","36,485",60.87,"62,244",5.10,N/A,
99,삼성증권,"36,950",900,-2.38%,"5,000","32,996","89,300",28.53,"432,624",3.42,16.94,
100,DB하이텍,"73,600",600,-0.81%,"5,000","32,677","44,399",23.15,"1,070,519",7.66,33.35,
101,이마트,"115,500","4,000",-3.35%,"5,000","32,197","27,876",28.44,"275,160",2.05,16.25,
102,GS건설,"37,600",800,-2.08%,"5,000","32,179","85,581",27.65,"675,581",7.84,9.32,
